T_aus: 32500 ms
T_an : 10500 ms

Temperatur    Zaehlerwert
   20 øC         22876
   21 øC         22344
   22 øC         21834
   23 øC         21345
   24 øC         20865
   25 øC         20411
   26 øC         19946
   27 øC         19502
   28 øC         19104
   29 øC         18690
   30 øC         18314
   31 øC         17918
   32 øC         17539
   33 øC         17212
   34 øC         16863
   35 øC         16527
   36 øC         16177
   37 øC         15862
   38 øC         15571
   39 øC         15279
   40 øC         14997
